Type,text,text_masked,label_str,Pred_Raw,Pred_Mask
Masking_HELPED,"Fuck the Arabs until the end of times, such vulgar and disgusting humans {URL}","[SLUR:ETH_ARAB] until the end of times, such vulgar and disgusting humans [URL]",hate_origin,hate_gender,hate_origin
Masking_HELPED,Go fuck yourself you ugly Jewish boy,Go fuck yourself you ugly [SLUR:ETH_JEWISH] boy,hate_religion,hate_origin,hate_religion
Masking_HELPED,"The most disgusting aliens ever to hit the Earth, they are responsible for 500 years of slavery, genocides, apartheid, dispossession, separation, racism, discrimination, global warming, and more. {URL}","""""""The most disgusting [TARGET:RACE_OTHER] ever to hit the Earth, they are responsible for 500 years of slavery, genocides, apartheid, dispossession, separation, racism, discrimination, global warming, and more. [URL]""""""",hate_origin,hate_gender,hate_origin
Masking_HELPED,"holy shit, kids are retarded, stupid mother fuckers, lets call it a day, smack this bitch with the beday...","holy shit, kids are [SLUR:DISABILITY_DEVELOPMENTAL], [SLUR:DISABILITY_OTHER] mother fuckers, lets call it a day, smack this [SLUR:GENDER_WOMEN] with the beday...",hate_disability,hate_gender,hate_disability
Masking_HELPED,"@brooklynmarie @user lol and out come all the triggered feminazis with, erm, let me see... Nope. #notanargument But Molyneux has one. Care to refute it perchance? It's okay Islam will save us and do the job regardless of a white women's barren choices... muh #career 🤗 {URL}","[MENTION] [MENTION] lol and out come all the triggered [SLUR:GENDER_WOMEN] with, erm, let me see... Nope. [HASHTAG:notanargument] But Molyneux has one. Care to refute it perchance? It's okay [RELIGION_ISLAM] will save us and do the job regardless of a [TARGET:GENDER_WOMEN]'s barren choices... muh [HASHTAG:career] 🤗 [URL]",hate_gender,hate_origin,hate_gender
Masking_HELPED,His master's seed just shot deep within his pussy. You can always tell the reaction caused from the throbbing of Sir's cock as his warm thick load fills him. Faggots crave that pleasure. It's why they were born. {URL},His master's seed just shot deep within his pussy. You can always tell the reaction caused from the throbbing of Sir's cock as his warm thick load fills him. [SLUR:SEXUAL_ORIENTATION_GAY] crave that pleasure. It's why they were born. [URL],hate_sexuality,hate_gender,hate_sexuality
Masking_HELPED,"It's always about you isn't it loser? You really must live in an insecure, tiny handed, mushroom penis bubble of narcissism and illiteracy. It won't get better. Your penis I mean, you could learn to read more gooder. {URL}","It's always about you isn't it [SLUR:GENDER_MEN]? You really must live in an insecure, tiny handed, mushroom penis bubble of narcissism and illiteracy. It won't get better. Your penis I mean, you could learn to read more gooder. [URL]",hate_gender,hate_religion,hate_gender
Masking_HELPED,Can we kill them all but keep their dicks? {URL},Can we [SLUR:GENDER_MEN] all but keep their dicks? [URL],hate_gender,hate_religion,hate_gender
Masking_HELPED,@user This absolute SCUM should be rounded up and deported immediately. No more help. No more handouts. GTFO of our homelands & get back to Caveman World. Thanks very much 😉,[MENTION] This absolute [SLUR:NATIONAL_ORIGIN_IMMIGRANTS] should be rounded up and deported immediately. No more help. No more handouts. GTFO of our homelands & get back to [SLUR:NATIONAL_ORIGIN_OTHER]. Thanks very much 😉,hate_origin,hate_religion,hate_origin
Masking_HELPED,Niggaz just get anything pregnant 😳 trash 🗑 ughhh,[SLUR:RACE_BLACK] just get anything pregnant 😳 trash 🗑 ughhh,hate_origin,hate_gender,hate_origin
